target_name,target_addr
유명산 자연휴양림,(12473 )경기 가평군 설악면 유명산길 79-53
산음 자연휴양림,(12527 )경기 양평군 단월면 고북길 347
중미산 자연휴양림,(12505 )경기 양평군 옥천면 중미산로 1152
운악산 자연휴양림,(11123 )경기 포천시 화현면 화동로 184
속리산 말티재자연휴양림,(28911 )충북 보은군 장안면 속리산로 256
오서산 자연휴양림,(33422 )충남 보령시 청라면 오서산길 531
희리산 자연휴양림,(33612 )충남 서천군 종천면 희리산길 206
용현 자연휴양림,(31950 )충남 서산시 운산면 마애삼존불길 339
상당산성 자연휴양림,(28150 )충북 청주시 청원구 내수읍 덕암2길 162
아세안 자연휴양림,(11518 )경기 양주시 백석읍 기산로 472
청태산 자연휴양림,(25261 )강원 횡성군 둔내면 청태산로 610
복주산 자연휴양림,(24065 )강원 철원군 근남면 하오재로 818
용화산 자연휴양림,(24201 )강원 춘천시 사북면 사여골길 294
백운산 자연휴양림,(26402 )강원 원주시 판부면 백운산길 81
삼봉 자연휴양림,(25170 )강원 홍천군 내면 삼봉휴양길 276
용대 자연휴양림,(24605 )강원 인제군 북면 연화동길 7
방태산 자연휴양림,(24656 )강원 인제군 기린면 방태산길 241
대관령 자연휴양림,(25443 )강원 강릉시 성산면 삼포암길 133
미천골 자연휴양림,(25040 )강원 양양군 서면 미천골길 115
두타산 자연휴양림(평창),(25337 )강원 평창군 진부면 아차골길 132
가리왕산 자연휴양림,(26119 )강원 정선군 정선읍 가리왕산로 791
검봉산 자연휴양림,(25956 )강원 삼척시 원덕읍 임원안길 525-145
화천숲속 야영장,(24139 )강원 화천군 간동면 배후령길 1144
대야산 자연휴양림,(36993 )경북 문경시 가은읍 용추길 31-35
칠보산 자연휴양림,(36404 )경북 영덕군 병곡면 칠보산길 587
청옥산 자연휴양림,(36271 )경북 봉화군 석포면 청옥로 1552-163
검마산 자연휴양림,(36524 )경북 영양군 수비면 검마산길 191
통고산 자연휴양림,(36300 )경북 울진군 금강송면 불영계곡로 880
운문산 자연휴양림,(38368 )경북 청도군 운문면 운문로 763
신불산 자연휴양림,(44909 )울산 울주군 상북면 청수골길 175
황정산 자연휴양림,(27028 )충북 단양군 대강면 황정산로 239-11
달음산 자연휴양림,(46046 )부산 기장군 일광면 화용길 299-106
방장산 자연휴양림,(57202 )전남 장성군 북이면 방장로 353
덕유산 자연휴양림,(55563 )전북특별자치도 무주군 무풍면 구천동로 530-62
운장산 자연휴양림,(55410 )전북특별자치도 진안군 정천면 휴양림길 77
지리산 자연휴양림,(50057 )경남 함양군 마천면 음정길 152
남해편백 자연휴양림,(52448 )경남 남해군 삼동면 금암로 658
회문산 자연휴양림,(56011 )전북특별자치도 순창군 구림면 안심길 214
천관산 자연휴양림,(59351 )전남 장흥군 관산읍 칠관로 842-1150
낙안민속 자연휴양림,(57918 )전남 순천시 낙안면 민속마을길 1600
변산 자연휴양림,(56340 )전북특별자치도 부안군 변산면 변산로 3768
진도 자연휴양림,(58945 )전남 진도군 임회면 동령개길 1-92
용지봉 자연휴양림,(50991 )경남 김해시 대청계곡길 170-36
무의도 자연휴양림,(22387 )인천 중구 하나개로 74
신시도자연휴양림,(54000 )전북특별자치도 군산시 옥도면 신시도길 271
김천숲속야영장,(39697 )경북 김천시 대덕면 조룡길 865
금산 자연휴양림,(32759 )충남 금산군 남이면 거북바위길 10-163
