휴양림명,소재지도로명주소
데미샘자연휴양림,전북특별자치도 진안군 백운면 데미샘 1길 172
조령산자연휴양림,충청북도 괴산군 연풍면 새재로 1795
옥화자연휴양림,충청북도 청주시 상당구 미원면 운암옥화길 140
아세안자연휴양림,경기도 양주시 백석읍 기산로 472
장흥 자연휴양림,경기도 양주시 장흥면 권율로 594
좌구산자연휴양림,충청북도 증평군 증평읍 솟점말길 107
오도산 자연휴양림,경상남도 합천군 봉산면 오도산휴양로 345
대봉캠핑랜드,경상남도 함양군 병곡면 원산지소길 192
대봉산자연휴양림,경상남도 함양군 병곡면 병곡지곡로 333
산삼자연휴양림,경상남도 함양군 서상면 가르내길 202-1
용추자연휴양림,경상남도 함양군 안의면 용추휴양림길 260
화왕산자연휴양림,경상남도 창녕군 고암면 청간길 128-126
자굴산 자연휴양림,경상남도 의령군 가례면 자굴산휴양로 23
대운산자연휴양림,경상남도 양산시 탑골길 270
청도자연휴양림,경상북도 청도군 각북면 비슬산길 111-25
운문산자연휴양림,경상북도 청도군 운문면 운문로 763
보현산자연휴양림,경상북도 영천시 화북면 배나무정길 334
운주산승마자연휴양림,경상북도 영천시 임고면 승마휴양림길 105
옥성자연휴양림,경상북도 구미시 옥성면 휴양림길 150
신안자연휴양관,전라남도 신안군 자은면 자은서부2길 508-77
주작산자연휴양림,전라남도 강진군 신전면 주작산길 262
유치자연휴양림,전라남도 장흥군 유치면 휴양림길 154
백운산자연휴양림,전라남도 광양시 옥룡면 백계로 337
방화동자연휴양림,전북특별자치도 장수군 번암면 방화동로 778
방화동가족휴가촌,전북특별자치도 장수군 번암면 방화동로 778
와룡자연휴양림,전북특별자치도 장수군 천천면 비룡로 632
남원자연휴양림,전북특별자치도 남원시 보산로 228
흥부골자연휴양림,전북특별자치도 남원시 인월면 구인원길 125
칠갑산자연휴양림,충청남도 청양군 대치면 칠갑산로 668-103
만수산자연휴양림,충청남도 부여군 외산면 휴양로 107
박달재자연휴양림,충청북도 제천시 백운면 금봉로 228
옥전자연휴양림,충청북도 제천시 봉양읍 옥전길 195
계명산자연휴양림,충청북도 충주시 충주호수로 1170
봉황자연휴양림,충청북도 충주시 중앙탑면 수룡봉황길540
문성자연휴양림,충청북도 충주시 노은면 우성1길 191
광치자연휴양림,강원특별자치도 양구군 국토정중앙면 광치령로 1794번길 265
망경대산 자연휴양림,강원특별자치도 영월군 산솔면 선도우길 177
강릉임해자연휴양림,강원특별자치도 강릉시 강동면 율곡로 1715-85
춘천숲자연휴양림,강원특별자치도 춘천시 동산면 종자리로 224-104
청평자연휴양림,경기도 가평군 청평면 북한강로2246번길 8-6
칼봉산자연휴양림,경기도 가평군 가평읍 경반안로 454
고대산자연휴양림,경기도 연천군 신서면 고대산길 84-79
문수산 산림욕장,경기도 김포시 월곶면 문수산로 102-38
용인자연휴양림,경기도 용인시 처인구 모현읍 초부로 220
동두천자연휴양림,경기도 동두천시 탑동가산로 1
구름산산림욕장,경기도 광명시 오리로 619번길 34
강화자연휴양림,인천광역시 강화군 불은면 중앙로 546-34
강화군 석모도자연휴양림,인천광역시 강화군 삼산면 삼산서로 39-75
비슬산자연휴양림,대구광역시 달성군 유가읍 일연선사길 99
화원자연휴양림,대구광역시 달성군 화원읍 화원휴양림길 126
밀양도래재자연휴양림,경상남도 밀양시 단장면 도래재로 462
수도산 자연휴양림,경상북도 김천시 대덕면 증산로 326-71
