주유소명,주소
진우12주유소,경기 용인시 기흥구 용구대로 1875
기흥 배트맨주유소,경기 용인시 기흥구 용구대로 1876
신갈현대주유소,경기 용인시 기흥구 신갈로 113
하늘에너지(주)구갈주유소,경기 용인시 기흥구 중부대로 551
구도일주유소 미르셀프,경기 용인시 기흥구 동백죽전대로 143
동백시티주유소,경기 용인시 기흥구 동백죽전대로556번길 1
올바른죽전셀프주유소,경기 용인시 수지구 용구대로 2751
동남주유소,경기 용인시 처인구 남사면 천덕산로 5
이루다셀프주유소,경기 용인시 처인구 백옥대로 1410
하늘에너지(주)미성주유소,경기 용인시 처인구 백옥대로 1416
성산에너지 포도나무주유소,경기 용인시 처인구 중부대로 1560
포곡농협가득채움주유소본점,경기 용인시 처인구 포곡읍 포곡로 227
(주)서경에너지 사과나무주유소,경기 용인시 처인구 포곡읍 백옥대로 1767
에스반도체주유소(주),경기 용인시 처인구 이동읍 경기동로 862
양지IC셀프주유소,경기 용인시 처인구 양지읍 중부대로 2247
사우디주유소,경기 용인시 처인구 백암면 죽양대로 685
