주유소명,주소
남양타운주유소,경기 화성시 만세구 남양읍 주석로 54
(주)흥운상기리주유소,경기 화성시 효행구 봉담읍 주석로 996
남양대로주유소,경기 화성시 만세구 남양읍 화성로 1235
남양대로주유소,경기 화성시 만세구 남양읍 화성로 1235
발안주유소,경기 화성시 만세구 팔탄면 삼천병마로 355
덕성주유소,경기 화성시 만세구 팔탄면 버들로 1509
삼우셀프주유소,경기 화성시 효행구 정남면 시청로 1601
대원카고주유소,경기 화성시 효행구 봉담읍 매봉로 222
마도알뜰주유소,경기 화성시 만세구 마도면 두곡서길 58
금산주유소,경기 화성시 만세구 장안면 3.1만세로 501
송하셀프주유소,경기 화성시 만세구 향남읍 향남로 150
야목주유소,경기 화성시 효행구 매송면 매송로 283
슈퍼맨주유소,경기 화성시 만세구 향남읍 발안로 392
유림주유소,경기 화성시 만세구 향남읍 서봉로 586
킬리만자로의표범주유소,경기 화성시 효행구 정남면 가장로 319
육일주유소,경기 화성시 만세구 송산면 당성로 523
서신주유소,경기 화성시 만세구 서신면 매화3길 10
